Year,SERIES,UNIT_MEASURE,Пол,AGE,Value
2018,SI_COV_SOCHHLP,Број,Жене,_T,101.0
2019,SI_COV_SOCHHLP,Број,Жене,_T,164.0
2020,SI_COV_SOCHHLP,Број,Жене,_T,120.0
2021,SI_COV_SOCHHLP,Број,Жене,_T,89.0
2012,SI_COV_SOCHHLP,Број,Оба пола или без подјеле по полу,_OWCH,15.0
2013,SI_COV_SOCHHLP,Број,Оба пола или без подјеле по полу,_OWCH,15.0
2014,SI_COV_SOCHHLP,Број,Оба пола или без подјеле по полу,_OWCH,7.0
2015,SI_COV_SOCHHLP,Број,Оба пола или без подјеле по полу,_OWCH,6.0
2016,SI_COV_SOCHHLP,Број,Оба пола или без подјеле по полу,_OWCH,5.0
2017,SI_COV_SOCHHLP,Број,Оба пола или без подјеле по полу,_OWCH,17.0
2018,SI_COV_SOCHHLP,Број,Оба пола или без подјеле по полу,_OWCH,1.0
2019,SI_COV_SOCHHLP,Број,Оба пола или без подјеле по полу,_OWCH,1.0
2020,SI_COV_SOCHHLP,Број,Оба пола или без подјеле по полу,_OWCH,0.0
2021,SI_COV_SOCHHLP,Број,Оба пола или без подјеле по полу,_OWCH,0.0
2012,SI_COV_SOCHHLP,Број,Мушкарци,_OWCH,11.0
2013,SI_COV_SOCHHLP,Број,Мушкарци,_OWCH,11.0
2014,SI_COV_SOCHHLP,Број,Мушкарци,_OWCH,5.0
2015,SI_COV_SOCHHLP,Број,Мушкарци,_OWCH,2.0
2016,SI_COV_SOCHHLP,Број,Мушкарци,_OWCH,2.0
2017,SI_COV_SOCHHLP,Број,Мушкарци,_OWCH,5.0
2018,SI_COV_SOCHHLP,Број,Мушкарци,_OWCH,0.0
2019,SI_COV_SOCHHLP,Број,Мушкарци,_OWCH,0.0
2020,SI_COV_SOCHHLP,Број,Мушкарци,_OWCH,0.0
2021,SI_COV_SOCHHLP,Број,Мушкарци,_OWCH,0.0
2012,SI_COV_SOCHHLP,Број,Жене,_OWCH,4.0
2013,SI_COV_SOCHHLP,Број,Жене,_OWCH,4.0
2014,SI_COV_SOCHHLP,Број,Жене,_OWCH,2.0
2015,SI_COV_SOCHHLP,Број,Жене,_OWCH,4.0
2016,SI_COV_SOCHHLP,Број,Жене,_OWCH,3.0
2017,SI_COV_SOCHHLP,Број,Жене,_OWCH,12.0
2018,SI_COV_SOCHHLP,Број,Жене,_OWCH,1.0
2019,SI_COV_SOCHHLP,Број,Жене,_OWCH,1.0
2020,SI_COV_SOCHHLP,Број,Жене,_OWCH,0.0
2021,SI_COV_SOCHHLP,Број,Жене,_OWCH,0.0
2012,SI_COV_SOCDC,Број,Оба пола или без подјеле по полу,_T,70.0
2013,SI_COV_SOCDC,Број,Оба пола или без подјеле по полу,_T,70.0
2014,SI_COV_SOCDC,Број,Оба пола или без подјеле по полу,_T,230.0
2015,SI_COV_SOCDC,Број,Оба пола или без подјеле по полу,_T,178.0
2016,SI_COV_SOCDC,Број,Оба пола или без подјеле по полу,_T,209.0
2017,SI_COV_SOCDC,Број,Оба пола или без подјеле по полу,_T,286.0
2018,SI_COV_SOCDC,Број,Оба пола или без подјеле по полу,_T,312.0
2019,SI_COV_SOCDC,Број,Оба пола или без подјеле по полу,_T,395.0
2020,SI_COV_SOCDC,Број,Оба пола или без подјеле по полу,_T,335.0
2021,SI_COV_SOCDC,Број,Оба пола или без подјеле по полу,_T,433.0
2012,SI_COV_SOCDC,Број,Мушкарци,_T,39.0
2013,SI_COV_SOCDC,Број,Мушкарци,_T,39.0
2014,SI_COV_SOCDC,Број,Мушкарци,_T,120.0
2015,SI_COV_SOCDC,Број,Мушкарци,_T,105.0
2016,SI_COV_SOCDC,Број,Мушкарци,_T,128.0
2017,SI_COV_SOCDC,Број,Мушкарци,_T,163.0
2018,SI_COV_SOCDC,Број,Мушкарци,_T,180.0
2019,SI_COV_SOCDC,Број,Мушкарци,_T,209.0
2020,SI_COV_SOCDC,Број,Мушкарци,_T,157.0
2021,SI_COV_SOCDC,Број,Мушкарци,_T,255.0
2012,SI_COV_SOCDC,Број,Жене,_T,31.0
2013,SI_COV_SOCDC,Број,Жене,_T,31.0
2014,SI_COV_SOCDC,Број,Жене,_T,110.0
2015,SI_COV_SOCDC,Број,Жене,_T,73.0
2016,SI_COV_SOCDC,Број,Жене,_T,81.0
2017,SI_COV_SOCDC,Број,Жене,_T,123.0
2018,SI_COV_SOCDC,Број,Жене,_T,132.0
2019,SI_COV_SOCDC,Број,Жене,_T,186.0
2020,SI_COV_SOCDC,Број,Жене,_T,178.0
2021,SI_COV_SOCDC,Број,Жене,_T,178.0
2012,SI_COV_SOCDC,Број,Оба пола или без подјеле по полу,_OWCH,52.0
2013,SI_COV_SOCDC,Број,Оба пола или без подјеле по полу,_OWCH,52.0
2014,SI_COV_SOCDC,Број,Оба пола или без подјеле по полу,_OWCH,143.0
2015,SI_COV_SOCDC,Број,Оба пола или без подјеле по полу,_OWCH,137.0
2016,SI_COV_SOCDC,Број,Оба пола или без подјеле по полу,_OWCH,125.0
2017,SI_COV_SOCDC,Број,Оба пола или без подјеле по полу,_OWCH,157.0
2018,SI_COV_SOCDC,Број,Оба пола или без подјеле по полу,_OWCH,107.0
2019,SI_COV_SOCDC,Број,Оба пола или без подјеле по полу,_OWCH,127.0
2020,SI_COV_SOCDC,Број,Оба пола или без подјеле по полу,_OWCH,161.0
2021,SI_COV_SOCDC,Број,Оба пола или без подјеле по полу,_OWCH,192.0
2012,SI_COV_SOCDC,Број,Мушкарци,_OWCH,27.0
2013,SI_COV_SOCDC,Број,Мушкарци,_OWCH,27.0
2014,SI_COV_SOCDC,Број,Мушкарци,_OWCH,81.0
2015,SI_COV_SOCDC,Број,Мушкарци,_OWCH,77.0
2016,SI_COV_SOCDC,Број,Мушкарци,_OWCH,72.0
2017,SI_COV_SOCDC,Број,Мушкарци,_OWCH,83.0
2018,SI_COV_SOCDC,Број,Мушкарци,_OWCH,62.0
2019,SI_COV_SOCDC,Број,Мушкарци,_OWCH,65.0
2020,SI_COV_SOCDC,Број,Мушкарци,_OWCH,85.0
2021,SI_COV_SOCDC,Број,Мушкарци,_OWCH,137.0
2012,SI_COV_SOCDC,Број,Жене,_OWCH,25.0
2013,SI_COV_SOCDC,Број,Жене,_OWCH,25.0
2014,SI_COV_SOCDC,Број,Жене,_OWCH,62.0
2015,SI_COV_SOCDC,Број,Жене,_OWCH,60.0
2016,SI_COV_SOCDC,Број,Жене,_OWCH,53.0
2017,SI_COV_SOCDC,Број,Жене,_OWCH,74.0
2018,SI_COV_SOCDC,Број,Жене,_OWCH,45.0
2019,SI_COV_SOCDC,Број,Жене,_OWCH,62.0
2020,SI_COV_SOCDC,Број,Жене,_OWCH,76.0
2021,SI_COV_SOCDC,Број,Жене,_OWCH,55.0
2012,SI_COV_SOCOTFA,Број,Оба пола или без подјеле по полу,_T,11586.0
2013,SI_COV_SOCOTFA,Број,Оба пола или без подјеле по полу,_T,11586.0
2014,SI_COV_SOCOTFA,Број,Оба пола или без подјеле по полу,_T,11413.0
2015,SI_COV_SOCOTFA,Број,Оба пола или без подјеле по полу,_T,11105.0
2016,SI_COV_SOCOTFA,Број,Оба пола или без подјеле по полу,_T,11301.0
2017,SI_COV_SOCOTFA,Број,Оба пола или без подјеле по полу,_T,10481.0
2018,SI_COV_SOCOTFA,Број,Оба пола или без подјеле по полу,_T,11418.0
2019,SI_COV_SOCOTFA,Број,Оба пола или без подјеле по полу,_T,9732.0
2020,SI_COV_SOCOTFA,Број,Оба пола или без подјеле по полу,_T,9735.0
2021,SI_COV_SOCOTFA,Број,Оба пола или без подјеле по полу,_T,9152.0
2012,SI_COV_SOCOTFA,Број,Мушкарци,_T,5566.0
2013,SI_COV_SOCOTFA,Број,Мушкарци,_T,5566.0
2014,SI_COV_SOCOTFA,Број,Мушкарци,_T,5516.0
2015,SI_COV_SOCOTFA,Број,Мушкарци,_T,5480.0
2016,SI_COV_SOCOTFA,Број,Мушкарци,_T,5534.0
2017,SI_COV_SOCOTFA,Број,Мушкарци,_T,5020.0
2018,SI_COV_SOCOTFA,Број,Мушкарци,_T,5340.0
2019,SI_COV_SOCOTFA,Број,Мушкарци,_T,4726.0
2020,SI_COV_SOCOTFA,Број,Мушкарци,_T,4787.0
2021,SI_COV_SOCOTFA,Број,Мушкарци,_T,4360.0
2012,SI_COV_SOCOTFA,Број,Жене,_T,6020.0
2013,SI_COV_SOCOTFA,Број,Жене,_T,6020.0
2014,SI_COV_SOCOTFA,Број,Жене,_T,5897.0
2015,SI_COV_SOCOTFA,Број,Жене,_T,5625.0
2016,SI_COV_SOCOTFA,Број,Жене,_T,5767.0
2017,SI_COV_SOCOTFA,Број,Жене,_T,5461.0
2018,SI_COV_SOCOTFA,Број,Жене,_T,6078.0
2019,SI_COV_SOCOTFA,Број,Жене,_T,5006.0
2020,SI_COV_SOCOTFA,Број,Жене,_T,4948.0
2021,SI_COV_SOCOTFA,Број,Жене,_T,4792.0
2012,SI_COV_SOCOTFA,Број,Оба пола или без подјеле по полу,_OWCH,1836.0
2013,SI_COV_SOCOTFA,Број,Оба пола или без подјеле по полу,_OWCH,1836.0
2014,SI_COV_SOCOTFA,Број,Оба пола или без подјеле по полу,_OWCH,1172.0
2015,SI_COV_SOCOTFA,Број,Оба пола или без подјеле по полу,_OWCH,657.0
2016,SI_COV_SOCOTFA,Број,Оба пола или без подјеле по полу,_OWCH,752.0
2017,SI_COV_SOCOTFA,Број,Оба пола или без подјеле по полу,_OWCH,783.0
2018,SI_COV_SOCOTFA,Број,Оба пола или без подјеле по полу,_OWCH,625.0
2019,SI_COV_SOCOTFA,Број,Оба пола или без подјеле по полу,_OWCH,643.0
2020,SI_COV_SOCOTFA,Број,Оба пола или без подјеле по полу,_OWCH,560.0
2021,SI_COV_SOCOTFA,Број,Оба пола или без подјеле по полу,_OWCH,575.0
2012,SI_COV_SOCOTFA,Број,Мушкарци,_OWCH,839.0
2013,SI_COV_SOCOTFA,Број,Мушкарци,_OWCH,839.0
2014,SI_COV_SOCOTFA,Број,Мушкарци,_OWCH,534.0
2015,SI_COV_SOCOTFA,Број,Мушкарци,_OWCH,319.0
2016,SI_COV_SOCOTFA,Број,Мушкарци,_OWCH,395.0
2017,SI_COV_SOCOTFA,Број,Мушкарци,_OWCH,357.0
2018,SI_COV_SOCOTFA,Број,Мушкарци,_OWCH,289.0
2019,SI_COV_SOCOTFA,Број,Мушкарци,_OWCH,373.0
2020,SI_COV_SOCOTFA,Број,Мушкарци,_OWCH,268.0
2021,SI_COV_SOCOTFA,Број,Мушкарци,_OWCH,293.0
2012,SI_COV_SOCOTFA,Број,Жене,_OWCH,997.0
2013,SI_COV_SOCOTFA,Број,Жене,_OWCH,997.0
2014,SI_COV_SOCOTFA,Број,Жене,_OWCH,638.0
2015,SI_COV_SOCOTFA,Број,Жене,_OWCH,338.0
2016,SI_COV_SOCOTFA,Број,Жене,_OWCH,357.0
2017,SI_COV_SOCOTFA,Број,Жене,_OWCH,426.0
2018,SI_COV_SOCOTFA,Број,Жене,_OWCH,336.0
2019,SI_COV_SOCOTFA,Број,Жене,_OWCH,270.0
2020,SI_COV_SOCOTFA,Број,Жене,_OWCH,292.0
2021,SI_COV_SOCOTFA,Број,Жене,_OWCH,282.0
2018,SI_COV_SOCPDPENS,Број,Оба пола или без подјеле по полу,_T,4192.0
2019,SI_COV_SOCPDPENS,Број,Оба пола или без подјеле по полу,_T,4944.0
2020,SI_COV_SOCPDPENS,Број,Оба пола или без подјеле по полу,_T,6278.0
2021,SI_COV_SOCPDPENS,Број,Оба пола или без подјеле по полу,_T,6727.0
2018,SI_COV_SOCPDPENS,Број,Мушкарци,_T,2233.0
2019,SI_COV_SOCPDPENS,Број,Мушкарци,_T,2843.0
2020,SI_COV_SOCPDPENS,Број,Мушкарци,_T,3665.0
2021,SI_COV_SOCPDPENS,Број,Мушкарци,_T,3953.0
2018,SI_COV_SOCPDPENS,Број,Жене,_T,1959.0
2019,SI_COV_SOCPDPENS,Број,Жене,_T,2101.0
2020,SI_COV_SOCPDPENS,Број,Жене,_T,2613.0
2021,SI_COV_SOCPDPENS,Број,Жене,_T,2774.0
2018,SI_COV_SOCPDPENS,Број,Оба пола или без подјеле по полу,_OWCH,1048.0
2019,SI_COV_SOCPDPENS,Број,Оба пола или без подјеле по полу,_OWCH,1214.0
2020,SI_COV_SOCPDPENS,Број,Оба пола или без подјеле по полу,_OWCH,1445.0
2021,SI_COV_SOCPDPENS,Број,Оба пола или без подјеле по полу,_OWCH,1626.0
2018,SI_COV_SOCPDPENS,Број,Мушкарци,_OWCH,670.0
2019,SI_COV_SOCPDPENS,Број,Мушкарци,_OWCH,777.0
2020,SI_COV_SOCPDPENS,Број,Мушкарци,_OWCH,912.0
2021,SI_COV_SOCPDPENS,Број,Мушкарци,_OWCH,1019.0
2018,SI_COV_SOCPDPENS,Број,Жене,_OWCH,378.0
2019,SI_COV_SOCPDPENS,Број,Жене,_OWCH,437.0
2020,SI_COV_SOCPDPENS,Број,Жене,_OWCH,533.0
2021,SI_COV_SOCPDPENS,Број,Жене,_OWCH,607.0
