Year,SERIES,UNIT_MEASURE,Pol,Starost,Value
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,184.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,204.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,115.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,112.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,137.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,134.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,134.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,184.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,175.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,153.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,165.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,178.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,121.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,111.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,111.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Oba pola ili bez podjele po polu,Broj djece,290.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Oba pola ili bez podjele po polu,Broj djece,290.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Oba pola ili bez podjele po polu,Broj djece,414.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Oba pola ili bez podjele po polu,Broj djece,386.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Oba pola ili bez podjele po polu,Broj djece,306.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Oba pola ili bez podjele po polu,Broj djece,322.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Oba pola ili bez podjele po polu,Broj djece,325.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Oba pola ili bez podjele po polu,Broj djece,147.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Oba pola ili bez podjele po polu,Broj djece,141.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Oba pola ili bez podjele po polu,Broj djece,134.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Muškarci,Broj djece,175.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Muškarci,Broj djece,175.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Muškarci,Broj djece,237.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Muškarci,Broj djece,229.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Muškarci,Broj djece,170.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Muškarci,Broj djece,175.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Muškarci,Broj djece,194.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Muškarci,Broj djece,74.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Muškarci,Broj djece,75.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Muškarci,Broj djece,74.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Žene,Broj djece,115.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Žene,Broj djece,115.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Žene,Broj djece,177.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Žene,Broj djece,157.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Žene,Broj djece,136.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Žene,Broj djece,147.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Žene,Broj djece,131.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Žene,Broj djece,73.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Žene,Broj djece,66.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na podršku u izjednačavanju djece i omladine sa smetnjama u razvoju,Broj,Žene,Broj djece,60.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,1048.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,1048.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,1059.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,1029.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,1089.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,1071.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,1145.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,1078.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,1179.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,1190.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,473.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,473.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,491.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,504.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,504.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,500.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,525.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,504.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,544.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,533.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,575.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,575.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,568.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,525.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,585.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,571.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,620.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,574.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,635.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,657.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Oba pola ili bez podjele po polu,Broj djece,225.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Oba pola ili bez podjele po polu,Broj djece,225.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Oba pola ili bez podjele po polu,Broj djece,207.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Oba pola ili bez podjele po polu,Broj djece,199.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Oba pola ili bez podjele po polu,Broj djece,224.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Oba pola ili bez podjele po polu,Broj djece,183.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Oba pola ili bez podjele po polu,Broj djece,170.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Oba pola ili bez podjele po polu,Broj djece,154.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Oba pola ili bez podjele po polu,Broj djece,152.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Oba pola ili bez podjele po polu,Broj djece,159.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Muškarci,Broj djece,119.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Muškarci,Broj djece,119.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Muškarci,Broj djece,106.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Muškarci,Broj djece,106.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Muškarci,Broj djece,118.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Muškarci,Broj djece,94.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Muškarci,Broj djece,90.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Muškarci,Broj djece,73.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Muškarci,Broj djece,74.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Muškarci,Broj djece,82.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Žene,Broj djece,106.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Žene,Broj djece,106.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Žene,Broj djece,101.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Žene,Broj djece,93.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Žene,Broj djece,106.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Žene,Broj djece,89.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Žene,Broj djece,80.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Žene,Broj djece,81.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Žene,Broj djece,78.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na smještaj u ustanovu socijalne zaštite i drugu ustanovu,Broj,Žene,Broj djece,77.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,389.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,389.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,426.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,356.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,356.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,392.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,390.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,373.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,370.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Oba pola ili bez podjele po polu,Svi starosni rasponi ili nema podjele po godinama,333.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,182.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,182.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,198.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,167.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,167.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,194.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,192.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,168.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,175.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Muškarci,Svi starosni rasponi ili nema podjele po godinama,159.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,211.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,211.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,228.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,189.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,189.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,198.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,198.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,205.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,195.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Žene,Svi starosni rasponi ili nema podjele po godinama,174.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Oba pola ili bez podjele po polu,Broj djece,119.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Oba pola ili bez podjele po polu,Broj djece,119.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Oba pola ili bez podjele po polu,Broj djece,196.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Oba pola ili bez podjele po polu,Broj djece,252.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Oba pola ili bez podjele po polu,Broj djece,259.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Oba pola ili bez podjele po polu,Broj djece,272.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Oba pola ili bez podjele po polu,Broj djece,223.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Oba pola ili bez podjele po polu,Broj djece,210.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Oba pola ili bez podjele po polu,Broj djece,206.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Oba pola ili bez podjele po polu,Broj djece,208.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Muškarci,Broj djece,61.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Muškarci,Broj djece,61.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Muškarci,Broj djece,101.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Muškarci,Broj djece,127.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Muškarci,Broj djece,135.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Muškarci,Broj djece,137.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Muškarci,Broj djece,117.0
2019,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Muškarci,Broj djece,96.0
2020,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Muškarci,Broj djece,102.0
2021,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Muškarci,Broj djece,99.0
2012,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Žene,Broj djece,58.0
2013,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Žene,Broj djece,58.0
2014,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Žene,Broj djece,95.0
2015,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Žene,Broj djece,125.0
2016,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Žene,Broj djece,124.0
2017,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Žene,Broj djece,135.0
2018,Broj korisnika socijalne zaštite koji ostvaruju pravo na zbrinjavanje u hraniteljsku porodicu,Broj,Žene,Broj djece,106.0
